Timestamp_Epoch,Timestamp_Seconds,Cart_X,Cart_Y,Cart_Z,Yaw_angle,Cable_X,Cable_Y,Unused,Cable_Lock,Yaw_angle_corrected,Rot_X,Rot_Y,CCOG_X,CCOG_Y,CCOG_Z
1759745215.771,120655.771,619452.93,5806092.75,41.44,94.3,5.599999999999995,3.600000000000005,,1,274.3,4.009747350917859,-5.314313331165861,619456.939747351,5806087.435686668,41.44
1759745215.973,120655.973,619452.93,5806092.75,41.44,93.2,4.199999999999993,3.2000000000000046,,1,273.2,3.429460766353631,-4.014822393586189,619456.3594607664,5806088.735177606,41.44
1759745216.19,120656.19,619453.22,5806092.73,41.39,93.9,5.800000000000008,3.1000000000000045,,1,273.9,3.4873099502488163,-5.575721416184252,619456.7073099503,5806087.154278584,41.39
1759745216.392,120656.392,619453.32,5806092.7,41.42,94.1,5.599999999999995,3.399999999999992,,1,274.1,3.791684350228246,-5.342577073682148,619457.1116843502,5806087.357422926,41.42
1759745216.594,120656.594,619453.46,5806092.73,41.42,93.4,6.500000000000003,3.899999999999999,,1,273.4,4.278626757146433,-6.257264024558228,619457.738626757,5806086.472735976,41.42
1759745216.796,120656.796,619453.48,5806092.75,41.44,93.4,6.500000000000003,3.899999999999999,,1,273.4,4.278626757146433,-6.257264024558228,619457.7586267571,5806086.492735975,41.44
1759745216.998,120656.998,619453.63,5806092.75,41.42,93.4,6.200000000000009,3.799999999999999,,1,273.4,4.161010862281268,-5.963722713538701,619457.7910108623,5806086.786277287,41.42
1759745217.216,120657.216,619453.64,5806092.75,41.44,93.6,6.199999999999996,3.799999999999999,,1,273.6,4.181802789109176,-5.949161742043888,619457.8218027891,5806086.800838258,41.44
1759745217.417,120657.417,619453.68,5806092.72,41.43,94.70000000000002,7.299999999999991,3.5999999999999988,,1,274.70000000000005,4.186045705544235,-6.980474292703507,619457.8660457056,5806085.739525707,41.43
1759745217.62,120657.62,619453.72,5806092.71,41.44,94.70000000000002,7.299999999999991,3.5999999999999988,,1,274.70000000000005,4.186045705544235,-6.980474292703507,619457.9060457055,5806085.729525708,41.44
