Timestamp_Epoch,Timestamp_Seconds,Cart_X,Cart_Y,Cart_Z,Yaw_angle,Cable_X,Cable_Y,Unused,Cable_Lock,Yaw_angle_corrected,Rot_X,Rot_Y,CCOG_X,CCOG_Y,CCOG_Z
1759745791.888,121631.888,619486.31,5806174.6,41.51,-89.09999999999995,3.500000000000011,-0.4999999999999943,,1,90.90000000000005,0.44496270564944945,3.507421872341734,619486.7549627057,5806178.107421872,41.51
1759745792.09,121632.09,619486.36,5806174.54,41.51,-87.69999999999995,3.4999999999999987,-0.4999999999999943,,1,92.30000000000005,0.35913592369325475,3.5172462791668395,619486.7191359237,5806178.057246279,41.51
1759745792.293,121632.293,619486.29,5806174.54,41.5,-85.29999999999998,2.200000000000016,-0.5999999999999881,,1,94.70000000000002,0.41771771310471845,2.24176535617772,619486.7077177131,5806176.781765357,41.5
1759745792.494,121632.494,619486.23,5806174.6,41.5,-86.39999999999992,-1.699999999999996,1.2999999999999954,,1,93.60000000000008,-1.1906908637569134,-1.7782731137161663,619485.0393091362,5806172.821726886,41.5
1759745792.712,121632.712,619486.33,5806174.64,41.53,-86.39999999999992,1.7000000000000088,0.4999999999999943,,1,93.60000000000008,-0.6057572474139656,1.6652501785634133,619485.7242427525,5806176.305250178,41.53
1759745792.912,121632.912,619485.99,5806174.6,41.54,-86.89999999999999,1.100000000000008,-0.1999999999999875,,1,93.10000000000001,0.14022063978197646,1.1092060999557956,619486.1302206398,5806175.7092061,41.54
1759745793.114,121633.114,619485.99,5806174.6,41.54,-86.8,0.8999999999999949,-0.0999999999999937,,1,93.2,0.04960472192434467,0.9041788382630939,619486.0396047219,5806175.504178838,41.54
1759745793.315,121633.315,619485.91,5806174.59,41.53,-86.8,2.70000000000001,0.4999999999999943,,1,93.2,-0.6499384455725277,2.667879310794777,619485.2600615545,5806177.25787931,41.53
1759745793.518,121633.518,619485.64,5806174.62,41.53,-86.8,2.70000000000001,1.2999999999999954,,1,93.2,-1.4486910569181135,2.6232221068002457,619484.1913089431,5806177.243222107,41.53
1759745793.736,121633.736,619485.64,5806174.62,41.53,-86.8,3.400000000000005,1.2000000000000015,,1,93.2,-1.387922033995136,3.3277127922269436,619484.252077966,5806177.947712792,41.53
1759745793.941,121633.941,619485.43,5806174.59,41.54,-86.60000000000001,3.0000000000000044,0.7000000000000074,,1,93.39999999999999,-0.8766870002745276,2.953205022268127,619484.5533129998,5806177.543205022,41.54
1759745794.146,121634.146,619485.43,5806174.59,41.54,-86.39999999999996,4.199999999999993,0.8999999999999949,,1,93.60000000000004,-1.1619442376085578,4.135200791822351,619484.2680557624,5806178.725200792,41.54
1759745794.347,121634.347,619485.35,5806174.61,41.54,-86.10000000000004,4.2000000000000055,0.9999999999999888,,1,93.89999999999996,-1.2833484996296336,4.122258680444301,619484.0666515003,5806178.732258681,41.54
1759745794.347,121634.347,619485.35,5806174.61,41.54,-86.30000000000003,2.70000000000001,0.7000000000000074,,1,93.69999999999997,-0.8727781650735184,2.6491995535578226,619484.4772218349,5806177.259199554,41.54
1759745794.55,121634.55,619485.21,5806174.61,41.55,-85.29999999999998,1.6000000000000023,1.699999999999996,,1,94.70000000000002,-1.8253851713987241,1.4553243542377914,619483.3846148285,5806176.065324355,41.55
1759745794.751,121634.751,619485.17,5806174.63,41.55,-85.69999999999996,0.8000000000000012,2.800000000000004,,1,94.30000000000004,-2.8521013553313908,0.5878076717063743,619482.3178986447,5806175.217807672,41.55
1759745794.953,121634.953,619485.08,5806174.64,41.56,-86.8,0.6000000000000009,2.5999999999999908,,1,93.2,-2.6294388898690397,0.45392854552696404,619482.45056111,5806175.093928545,41.56
1759745795.169,121635.169,619484.94,5806174.6,41.59,-85.60000000000002,0.4000000000000006,2.3000000000000096,,1,94.39999999999998,-2.3239089413726535,0.22236733619908597,619482.6160910586,5806174.822367336,41.59
1759745795.371,121635.371,619484.76,5806174.6,41.58,-85.60000000000002,0.4000000000000006,2.3000000000000096,,1,94.39999999999998,-2.3239089413726535,0.22236733619908597,619482.4360910587,5806174.822367336,41.58
1759745795.573,121635.573,619484.59,5806174.62,41.58,-85.89999999999995,1.7000000000000088,2.200000000000016,,1,94.10000000000005,-2.315915377813661,1.5383549534507015,619482.2740846222,5806176.158354954,41.58
1759745795.776,121635.776,619484.37,5806174.64,41.58,-86.0,3.4999999999999987,2.4000000000000035,,1,94.0,-2.63830137872802,3.324058638923482,619481.7316986213,5806177.964058639,41.58
1759745795.979,121635.979,619484.22,5806174.67,41.57,-87.69999999999999,3.4999999999999987,2.4000000000000035,,1,92.30000000000001,-2.538527822138633,3.4008640808224158,619481.6814721779,5806178.07086408,41.57
1759745796.194,121636.194,619484.05,5806174.65,41.58,-87.39999999999996,2.8999999999999977,2.4999999999999973,,1,92.60000000000004,-2.6289790900516214,2.783607182069934,619481.42102091,5806177.433607182,41.58
1759745796.395,121636.395,619483.89,5806174.65,41.59,-86.39999999999992,3.900000000000012,2.999999999999992,,1,93.60000000000008,-3.2389632114491347,3.703932682282327,619480.6510367886,5806178.353932682,41.59
1759745796.6,121636.6,619483.71,5806174.67,41.58,-86.19999999999999,4.600000000000007,3.399999999999992,,1,93.80000000000001,-3.6973849340329643,4.364555492783436,619480.0126150659,5806179.034555493,41.58
1759745796.803,121636.803,619483.49,5806174.68,41.57,-87.30000000000001,3.300000000000011,3.399999999999992,,1,92.69999999999999,-3.5516768622125103,3.1361746549617284,619479.9383231378,5806177.816174654,41.57
1759745797.006,121637.006,619483.42,5806174.68,41.59,-88.80000000000003,5.00000000000002,2.7999999999999785,,1,91.19999999999997,-2.9040980131463288,4.94026464170085,619480.5159019869,5806179.620264641,41.59
